sentimen,tweet_cleaned
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,kemaren nonton notice base tau cmiiw aespa watch smcu now next level
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,lovesagiboy paham banget about kwangya karna emang udah siap matang anggep
Netral,chewrybom keren aespa gila keren banget watch smcu now next level aespa official
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Netral,blythecharlie omg sabar watch smcu now next level aespa aespa official
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,terima kasih lee soo man seonsaengnim staf keras projek smcu supe
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,kimmnjya keren banget gak tau gpp nunggu durasi tambah sih bgt makna sembunyi gak kayak hate
Netral,scene bikin langsung keinget kak karina pas predebut debut aespa fans era forever masuk
Netral,kalo suara karina kek kaya feelnya dah pokok keren bgt nonton watch smcu now next level
Netral,aespa keren bgt sumpahh boong animasi bgus bgt trus critanyaa relate bgt aespa hujat snaa sin
Netral,blaencmange naevis anjir cakep banget dahh watch smcu now next level aespa official
Positive,nonton download link eat and love kill episode sub indo link link ketuahipmitersangkakpk selamat ulang moga spotify day ubah baik next level mafia hukum kalsel watch smcu now individu
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,naahooniee nngis bgt liat smcu keren ituu wooii plss klean nonton pake bangett watch smcu now next
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,ending blng bahaya tempur nya dlnjaut girls penasaran lirik savage tuh cari ingat naevis nya hilang ingat aespa kata naevis watch smcu now next level
Netral,gue smcu gabung savage girls kalo liat savage karina winter collab nyerang ending tuh aespa lepas kurung kaca didlm kereta brntem mati trnyata bangkit watch smcu now next level
Netral,naahooniee nngis bgt liat smcu keren ituu wooii plss klean nonton pake bangett watch smcu now next
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,careenaberry aespa official kena jebak kaya dihalusinasiin liat aespa kereta bagus indah pdhal buat masuk dalem aespa nya jebak pusing gak tuh seru bgt kalo lik watch smcu now next level aespa official
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Netral,belanja alat tani jun trend watch smcu now tender lelang
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Netral,belanja bahan obat-obatanternak vaksin puskeswan belanja pakai kerja laboratorium span class jun trend watch smcu now tender lelang
Netral,belanja tingkat sarana prasarana masjid bang camat dura span class badge badge-w jun trend watch smcu now tender lelang
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,belanja tingkat sarana prasarana masjid pauh camat moro span class badge badge-warning jun trend watch smcu now tender lelang
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,bantu transportasi boat sampan alat tankap ikan nelayan jun trend watch smcu now tender lelang
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,aerirae iya deh mba ungu tetep pilih karina btw turut scene deep sih citra pub
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,naahooniee nngis bgt liat smcu keren ituu wooii plss klean nonton pake bangett watch smcu now next
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,aespa keren bgt sumpahh boong animasi bgus bgt trus critanyaa relate bgt aespa hujat snaa sin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,stan aespa debut they did well guys watch smcu now aespa next level next level aespa girls girls aespa official
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,storynya aespa banget yahh pas debut watch smcu now aespa next level next level aespa girls girls
Netral,storynya weh bikin mewekk watch smcu now aespa next level next level aespa girls girls
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,keren bangt pdhal udh ntn brkali watch smcu now aespa next level next level aespa girls girls
Netral,merinding wehh watch smcu now aespa next level next level aespa girls girls
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,naahooniee nngis bgt liat smcu keren ituu wooii plss klean nonton pake bangett watch smcu now next
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,lovesagiboy paham banget about kwangya karna emang udah siap matang anggep
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Netral,ngantorr maning watch smcu now next level aespa official
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,blaencmange naevis anjir cakep banget dahh watch smcu now next level aespa official
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,naevis gak flat watch smcu now next level aespa official
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,somyfanboy scene karina manggil aekarina jahat tuh kek pas bgt fake aka akun setup make ava member purapura jdi
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Netral,hourlyaespabp karina smcu watch smcu now aespa smcuep karina
Netral,scene bikin langsung keinget kak karina pas predebut debut aespa fans era forever masuk
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Netral,karina smcu watch smcu now aespa smcuep karina
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Positive,taeseulrin sumpah pas scene related bangett kek real life aespa idol nyalahin
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
Negative,taeseulrin ayokk warga kwangya tonton smcu next level nyeritain jalan aespa kwangya ketemu black mamba
